Year,MexState,Mode,TradeType,TradeValue,Weight,WeightLb
1997,Tamaulipas,Other/Unknown,Export,50598582.0,,
1997,Tamaulipas,Rail,Export,110990142.0,,
1997,Tamaulipas,Truck,Export,6241276802.0,,
1997,Tlaxcala,Rail,Export,21209031.0,,
1997,Tlaxcala,Truck,Export,131913437.0,,
1997,Veracruz,Other/Unknown,Export,85971.0,,
1997,Veracruz,Rail,Export,53062519.0,,
1997,Veracruz,Truck,Export,159193951.0,,
1997,Yucatan,Other/Unknown,Export,738213.0,,
1997,Yucatan,Rail,Export,1109352.0,,
1997,Yucatan,Truck,Export,7373503.0,,
1997,Zacatecas,Other/Unknown,Export,63751.0,,
1997,Zacatecas,Rail,Export,4666627.0,,
1997,Zacatecas,Truck,Export,79504154.0,,
1998,Aguascalientes,Other/Unknown,Export,3836171.0,,
1998,Aguascalientes,Rail,Export,20271173.0,,
1998,Aguascalientes,Truck,Export,464176108.0,,
1998,Baja California,Rail,Export,3742118.0,,
1998,Baja California,Truck,Export,26395252.0,,
1998,Baja California Sur,Rail,Export,99362.0,,
1998,Baja California Sur,Truck,Export,5091435.0,,
1998,Campeche,Rail,Export,910666.0,,
1998,Campeche,Truck,Export,20059244.0,,
1998,Chiapas,Other/Unknown,Export,23200.0,,
1998,Chiapas,Rail,Export,828036.0,,
1998,Chiapas,Truck,Export,9546944.0,,
1998,Chihuahua,Other/Unknown,Export,23395252.0,,
1998,Chihuahua,Pipeline,Export,69960882.0,,
1998,Chihuahua,Rail,Export,87256713.0,,
1998,Chihuahua,Truck,Export,9621905036.0,,
1998,Coahuila,Other/Unknown,Export,5813429.0,,
1998,Coahuila,Rail,Export,812791379.0,,
1998,Coahuila,Truck,Export,2841098314.0,,
1998,Colima,Other/Unknown,Export,44075.0,,
1998,Colima,Rail,Export,7468583.0,,
1998,Colima,Truck,Export,178498020.0,,
1998,Distrito Federal,Other/Unknown,Export,6212139.0,,
1998,Distrito Federal,Rail,Export,1162981900.0,,
1998,Distrito Federal,Truck,Export,7800084017.0,,
1998,Durango,Other/Unknown,Export,346869.0,,
1998,Durango,Rail,Export,148678752.0,,
1998,Durango,Truck,Export,372902084.0,,
1998,Estado de Mexico,Other/Unknown,Export,79950410.0,,
1998,Estado de Mexico,Rail,Export,465116329.0,,
1998,Estado de Mexico,Truck,Export,6644617992.0,,
1998,Guanajuato,Other/Unknown,Export,1879083.0,,
1998,Guanajuato,Rail,Export,1142119691.0,,
1998,Guanajuato,Truck,Export,524040124.0,,
1998,Guerrero,Other/Unknown,Export,52212.0,,
1998,Guerrero,Rail,Export,617332.0,,
1998,Guerrero,Truck,Export,25518665.0,,
1998,Hidalgo,Rail,Export,131191904.0,,
1998,Hidalgo,Truck,Export,186376857.0,,
1998,Jalisco,Other/Unknown,Export,3396320.0,,
1998,Jalisco,Rail,Export,259230932.0,,
1998,Jalisco,Truck,Export,2172568656.0,,
1998,Michoacan,Other/Unknown,Export,3687011.0,,
1998,Michoacan,Rail,Export,31550816.0,,
1998,Michoacan,Truck,Export,111374024.0,,
1998,Morelos,Other/Unknown,Export,19396.0,,
