Year,Country,Mode,TradeType,TradeValue,Weight,WeightLb
2009,Canada,Truck,Import,105078889007.0,47922499.52,105650900.89
2009,Canada,Vessel,Export,4306029378.0,23732390.16,52320901.99
2009,Canada,Vessel,Import,15251921922.0,60652586.12,133715904.41
2009,Mexico,Air,Export,7184983314.0,53357.91,117633.92
2009,Mexico,Air,Import,7704414561.0,51512.63,113565.77
2009,Mexico,Foreign Trade Zones (FTZs),Import,1155548412.0,88017.2,194044.48
2009,Mexico,Mail (U.S. Postal Service),Export,817228.0,0.0,0.0
2009,Mexico,Mail (U.S. Postal Service),Import,98241.0,0.39,0.86
2009,Mexico,Other/Unknown,Export,4881936707.0,0.0,0.0
2009,Mexico,Other/Unknown,Import,2174967503.0,1255.98,2768.96
2009,Mexico,Pipeline,Export,788540234.0,0.0,0.0
2009,Mexico,Pipeline,Import,155295266.0,488229.1,1076359.64
2009,Mexico,Rail,Export,15288185474.0,0.0,0.0
2009,Mexico,Rail,Import,19302532049.0,7950672.45,17528211.5
2009,Mexico,Truck,Export,89408009790.0,0.0,0.0
2009,Mexico,Truck,Import,117787364033.0,27475510.5,60573059.96
2009,Mexico,Vessel,Export,11435769542.0,27593109.55,60832321.18
2009,Mexico,Vessel,Import,28256828067.0,77395791.45,170628309.75
2010,Canada,Air,Export,17637666040.0,212198.67,467817.43
2010,Canada,Air,Import,9427333501.0,48473.79,106866.29
2010,Canada,Foreign Trade Zones (FTZs),Import,1167244250.0,2191195.55,4830753.53
2010,Canada,Mail (U.S. Postal Service),Export,52760094.0,0.0,0.0
2010,Canada,Mail (U.S. Postal Service),Import,172854.0,2.66,5.86
2010,Canada,Other/Unknown,Export,18996093913.0,0.0,0.0
2010,Canada,Other/Unknown,Import,7270599733.0,5547.61,12230.37
2010,Canada,Pipeline,Export,3893498683.0,0.0,0.0
2010,Canada,Pipeline,Import,58762369820.0,96304011.61,212313750.08
2010,Canada,Rail,Export,26081386270.0,0.0,0.0
