Year,Month,Country,Mode,TradeType,TradeValue,Weight,WeightLb
2007,10,Mexico,Foreign Trade Zones (FTZs),Import,73368538.0,9409.75,20744.92
2007,10,Mexico,Mail (U.S. Postal Service),Export,17889.0,0.0,0.0
2007,10,Mexico,Other/Unknown,Export,429295925.0,0.0,0.0
2007,10,Mexico,Other/Unknown,Import,218701532.0,65.14,143.61
2007,10,Mexico,Pipeline,Export,43220494.0,0.0,0.0
2007,10,Mexico,Pipeline,Import,12555201.0,20275.47,44699.71
2007,10,Mexico,Rail,Export,1801647747.0,0.0,0.0
2007,10,Mexico,Rail,Import,2500973217.0,916548.82,2020641.86
2007,10,Mexico,Truck,Export,8626397953.0,0.0,0.0
2007,10,Mexico,Truck,Import,12858960320.0,2609149.61,5752183.41
2007,10,Mexico,Vessel,Export,875606603.0,2023067.7,4460095.51
2007,10,Mexico,Vessel,Import,3692211265.0,8987791.35,19814664.57
2007,11,Canada,Air,Export,1526445711.0,21598.29,47616.02
2007,11,Canada,Air,Import,858202846.0,6933.44,15285.6
2007,11,Canada,Foreign Trade Zones (FTZs),Import,26277789.0,26191.28,57741.82
2007,11,Canada,Mail (U.S. Postal Service),Export,5128539.0,0.0,0.0
2007,11,Canada,Mail (U.S. Postal Service),Import,7513.0,0.27,0.6
2007,11,Canada,Other/Unknown,Export,1940825755.0,0.0,0.0
2007,11,Canada,Other/Unknown,Import,1116384738.0,624.94,1377.76
2007,11,Canada,Pipeline,Export,179292109.0,0.0,0.0
2007,11,Canada,Pipeline,Import,4668248247.0,7194757.52,15861706.32
2007,11,Canada,Rail,Export,2340876928.0,0.0,0.0
2007,11,Canada,Rail,Import,5897760156.0,6833568.83,15065422.51
2007,11,Canada,Truck,Export,15939178761.0,0.0,0.0
2007,11,Canada,Truck,Import,13089795730.0,5477987.65,12076881.13
2007,11,Canada,Vessel,Export,686163415.0,3269805.12,7208677.76
2007,11,Canada,Vessel,Import,1700112931.0,6309671.52,13910428.03
2007,11,Mexico,Air,Export,658880663.0,5653.73,12464.33
2007,11,Mexico,Air,Import,470397671.0,9384.41,20689.06
2007,11,Mexico,Foreign Trade Zones (FTZs),Import,61959850.0,5629.32,12410.51
2007,11,Mexico,Mail (U.S. Postal Service),Export,46479.0,0.0,0.0
2007,11,Mexico,Other/Unknown,Export,476065155.0,0.0,0.0
2007,11,Mexico,Other/Unknown,Import,268004437.0,220.2,485.46
2007,11,Mexico,Pipeline,Export,79568671.0,0.0,0.0
2007,11,Mexico,Pipeline,Import,16155170.0,25215.09,55589.69
