Year,Month,CommodityGroup,Mode,TradeType,TradeValue,Weight,WeightLb
2007,2,"Pulp, Paper & Paperboard",Vessel,Import,2138226.0,3398.13,7491.59
2007,2,"Raw Hides, Skins & Leather",Air,Export,523127.0,11.41,25.15
2007,2,"Raw Hides, Skins & Leather",Air,Import,565549.0,16.41,36.18
2007,2,"Raw Hides, Skins & Leather",Rail,Import,367.0,8.68,19.14
2007,2,"Raw Hides, Skins & Leather",Truck,Export,38768569.0,,
2007,2,"Raw Hides, Skins & Leather",Truck,Import,11612723.0,1313.05,2894.78
2007,2,"Raw Hides, Skins & Leather",Vessel,Export,342956.0,6.22,13.71
2007,2,"Raw Hides, Skins & Leather",Vessel,Import,236289.0,29.13,64.22
2007,2,Special Classification Provisions,Air,Export,1781441.0,37.64,82.98
2007,2,Special Classification Provisions,Air,Import,34079396.0,245.01,540.15
2007,2,Special Classification Provisions,Foreign Trade Zones (FTZs),Import,184625.0,38.65,85.21
2007,2,Special Classification Provisions,Other/Unknown,Export,337579853.0,,
2007,2,Special Classification Provisions,Other/Unknown,Import,198999167.0,57.96,127.78
2007,2,Special Classification Provisions,Rail,Export,17493.0,,
2007,2,Special Classification Provisions,Rail,Import,1553463.0,1333.6,2940.08
2007,2,Special Classification Provisions,Truck,Export,28811067.0,,
2007,2,Special Classification Provisions,Truck,Import,360630637.0,54497.08,120145.35
2007,2,Special Classification Provisions,Vessel,Export,12872.0,0.79,1.74
2007,2,Special Classification Provisions,Vessel,Import,4394922.0,1495.24,3296.44
2007,2,"Stone, Ceramic & Glass Products",Air,Export,2504110.0,45.79,100.95
2007,2,"Stone, Ceramic & Glass Products",Air,Import,257218.0,35.6,78.48
2007,2,"Stone, Ceramic & Glass Products",Foreign Trade Zones (FTZs),Import,556947.0,47.07,103.77
2007,2,"Stone, Ceramic & Glass Products",Other/Unknown,Export,4200.0,,
2007,2,"Stone, Ceramic & Glass Products",Rail,Export,4431383.0,,
2007,2,"Stone, Ceramic & Glass Products",Rail,Import,8479551.0,13462.9,29680.58
2007,2,"Stone, Ceramic & Glass Products",Truck,Export,63116373.0,,
2007,2,"Stone, Ceramic & Glass Products",Truck,Import,160451397.0,199794.54,440471.04
2007,2,"Stone, Ceramic & Glass Products",Vessel,Export,1094589.0,311.2,686.08
2007,2,"Stone, Ceramic & Glass Products",Vessel,Import,2552806.0,3905.47,8610.08
2007,2,Textiles & Apparel,Air,Export,6305415.0,186.1,410.28
2007,2,Textiles & Apparel,Air,Import,7597263.0,223.68,493.13
2007,2,Textiles & Apparel,Foreign Trade Zones (FTZs),Import,51024.0,3.27,7.21
